Text Key	Specified	Default	Translate Value	Afrikaans (af)	Arabic (ar)	Armenian (hy)	Azerbaijani (az)	Basque (eu)	Belarusian (be)	Bengali (bn)	Bulgarian (bg)	Burmese (my)	Catalan (ca)	Chinese (zh-rCN)	Taiwanese (zh-rTW)	Croatian (hr)	Czech (cs)	Danish (da)	Dutch (nl)	Estonian (et)	English (en)	Finnish (fi)	French (fr)	German (de)	Greek (el)	Herbew (iw)	Hindi (hi)	Hungarian (hu)	Icelandic (is)	Indonesian (id)	Indonesian (in)	Italian  (it)	Japanese (ja)	Kannada (kn)	Khmer (km)	Korean (ko)	Lao (lo)	Latvian (lv)	Lithuanian (lt)	Macedonian (mk)	Malay (ms)	Malayalam (ml)	Marathi (mr)	Mongolian (mn)	Nepali (ne)	Norwegian Bokmal (nb)	Persian (fa)	Polish (pl)	Portuguese (pt)	Romanian (ro)	Russian (ru)	Serbian (sr)	Sinhala (si)	Slovak (sk)	Slovenian (sl)	Spanish (es)	Swahili (sw)	Swedish (sv)	Telugu (te)	Thai (th)	Turkish (tr)	Ukrainian (uk)	Vietnamese (vi)	Zulu (zu)
email_notice	Capfirstchar	We will email you a code that will instantly log you in	We will email you a code that will instantly log you in	Le enviaremos un correo electrónico un código que lo registrará instantáneamente	سنقوم بالبريد الإلكتروني لك رمزًا سيقوم بتسجيل الدخول على الفور	Մենք ձեզ էլ-նամակ կուղարկենք, որն անմիջապես մուտք կգործի ձեզ	Dərhal sizə daxil olacaq bir kodu sizə e-poçtla göndərəcəyik	Berehala saioa hasteko kode bat bidaliko dizugu	Мы вышлем вам па электроннай пошце код, які імгненна ўвойдзе ў сістэму	আমরা আপনাকে এমন একটি কোড ইমেল করব যা তাত্ক্ষণিকভাবে আপনাকে লগ ইন করবে	Ще ви изпратим имейл на код, който незабавно ще ви влезе	သင့်ကိုချက်ချင်း log in လုပ်ပေးမည့်ကုဒ်တစ်ခုကိုသင်အီးမေးလ်ပို့ပါမည်	Us enviarem un codi per enviar -vos un codi que us iniciarà de forma instantània	我们将通过电子邮件发送给您的代码，以立即将您登录	我們將通過電子郵件發送給您的代碼，以立即將您登錄	Poslat ćemo vam kod koji će vas odmah prijaviti	Pošleme vám e -mailem kód, který vás okamžitě přihlásí	Vi sender dig en kode, der øjeblikkeligt vil logge dig ind	We zullen u een code e -mailen die u onmiddellijk inlogt	Saadame teile koodi, mis teid kohe sisse logib	We will email you a code that will instantly log you in	Lähetämme sinulle koodin, joka kirjataan heti sisään	Nous vous enverrons un code qui vous enregistrera instantanément	Wir senden Ihnen einen Code per E -Mail, in dem Sie sofort angemeldet sind	Θα σας στείλουμε email με έναν κωδικό που θα σας συνδεθεί αμέσως	אנו נשלח אליך דוא"ל קוד שיחבר אותך באופן מיידי	हम आपको एक कोड ईमेल करेंगे जो तुरंत आपको लॉग इन करेगा	Küldünk e -mailt egy kóddal, amely azonnal bejelentkezik	Við munum senda þér kóða sem mun skrá þig strax inn	Kami akan mengirimi Anda email kode yang secara instan akan mencatat Anda	Kami akan mengirimi Anda email kode yang secara instan akan mencatat Anda	Ti invieremo un'e -mail un codice che ti acceda all'istante	即座にログインするコードをメールで送信します	ನಿಮ್ಮನ್ನು ತಕ್ಷಣ ಲಾಗ್ ಇನ್ ಮಾಡುವ ಕೋಡ್ ಅನ್ನು ನಾವು ನಿಮಗೆ ಇಮೇಲ್ ಮಾಡುತ್ತೇವೆ	យើងនឹងផ្ញើអ៊ីមែលទៅអ្នកនូវលេខកូដដែលនឹងចូលអ្នកភ្លាមៗ	즉시 로그인 할 코드를 이메일로 보내 드리겠습니다.	ພວກເຮົາຈະສົ່ງອີເມວລະຫັດທີ່ທ່ານຈະເຂົ້າສູ່ລະຫັດທີ່ທ່ານເຂົ້າໄປໃນ	Mēs jums nosūtīsim e -pastu kodu, kas uzreiz jums piesakās	Mes jums atsiųsime el. Laišką kodą, kuris akimirksniu jus prisijungs	Ние ќе ви испратиме е -пошта со код што веднаш ќе ве најави	Kami akan menghantar e -mel kepada anda kod yang akan segera melog masuk	തൽക്ഷണം നിങ്ങളെ തൽക്ഷണം ലോഗിൻ ചെയ്യുന്ന ഒരു കോഡ് ഞങ്ങൾ നിങ്ങൾക്ക് ഇമെയിൽ ചെയ്യും	आम्ही आपल्याला एक कोड ईमेल करू जो त्वरित आपल्याला लॉग इन करेल	Бид танд шууд нэвтрэх кодыг танд мэдэгдэх болно	हामी तपाईंलाई एक कोड ईमेल गर्नेछौं जुन तत्काल लग ईन गर्दछ	Vi sender deg en kode som umiddelbart vil logge deg på	ما کدی را برای شما ایمیل می کنیم که فوراً شما را وارد می کند	Wyślemy Ci e -mailem kod, który natychmiast zaloguje się	Enviaremos um e -mail para você um código que instantaneamente o login	Vă vom trimite prin e -mail un cod care vă va conecta instantaneu	Мы отправим вам по электронной почте код, который мгновенно войдет в вас в систему	Послаћемо вам е-пошту код који ће вас одмах пријавити	අපි ඔබට ක්ෂණිකව ලොග් වන කේතයක් අපි ඔබට විද්යුත් තැපැල් කරන්නෙමු	Pošleme vám e -mailom kód, ktorý vás okamžite prihlási	Po e -pošti vam bomo poslali kodo, ki vas bo takoj prijavila	Le enviaremos un correo electrónico un código que lo registrará instantáneamente	Tutakutumia barua pepe nambari ambayo itakuingiza mara moja	Vi skickar e -post till dig en kod som direkt loggar in dig	మేము మీకు తక్షణమే లాగిన్ అయ్యే కోడ్‌ను మీకు ఇమెయిల్ చేస్తాము	เราจะส่งอีเมลถึงคุณรหัสที่จะเข้าสู่ระบบคุณทันที	Size anında oturum açacak bir kod e -postayla göndereceğiz	Ми надішлемо вам електронний код, який миттєво увійде вас	Chúng tôi sẽ gửi email cho bạn một mã sẽ đăng nhập ngay lập tức	Sizokuthumela i-imeyili ikhodi ezongena khona manjalo
email_invalid	Capfirstchar	Invalid email	Invalid email	Email inválido	بريد إلكتروني خاطئ	Սխալ Էլեկտրոնային փոստի հասցե	Səhv e-mail	Posta elektroniko baliogabea	Несапраўдная электронная пошта	অবৈধ ইমেল	Грешен имейл	မမှန်ကန်သောအီးမေးလ်	Email invàlid	不合规电邮	不合規電郵	Nevažeći email	Neplatný e-mail	Ugyldig email	Ongeldig e-mail	Kehtetu e -post	Invalid email	Virheellinen sähköpostiosoite	Email invalide	Ungültige E-Mail	Ακυρη διεύθυνση ηλεκτρονικού ταχυδρομείου	אימייל שגוי	अमान्य ईमेल	Érvénytelen e-mail	Ógilt netfang	Email tidak valid	Email tidak valid	E-mail non valido	無効なメール	ಅಮಾನ್ಯ ಇಮೇಲ್	អ៊ីមែលមិនត្រឹមត្រូវ	잘못된 이메일	ອີເມວບໍ່ຖືກຕ້ອງ	Nepareizs e-pasts	Neteisingas el. pašto adresas	Неточен Емаил	Email tidak sah	അസാധുവായ ഇമെയിൽ	अवैध ईमेल	Хүчингүй и-мэйл	अवैध ईमेल	Ugyldig epost	ایمیل نامعتبر	Niepoprawny email	E-mail inválido	E-mail invalid	Неверный адрес электронной почты	Неважећа е-маил	අවලංගු ඊමේල්	Neplatný email	Neveljavno e ​​-pošto	Email inválido	Barua pepe batili	Ogiltig e-postadress	చెల్లని ఇమెయిల్	อีเมลไม่ถูกต้อง	Geçersiz e-posta	Недійсний електронний лист	Email không hợp lệ	I-imeyili Engavumelekile
send_email	Capfirstchar	Send code to email	Send code to email	Enviar código al correo electrónico	أرسل رمزًا إلى البريد الإلكتروني	Ուղարկեք կոդը էլ	E-poçta kodu göndərin	Bidali kodea posta elektronikora	Адпраўце код на электронную пошту	ইমেইলে কোড প্রেরণ করুন	Изпратете код на имейл	Code ကိုအီးမေးလ်ပို့ပါ	Enviar codi al correu electrònic	将代码发送到电子邮件	將代碼發送到電子郵件	Pošaljite kôd na e -poštu	Odeslat kód na e -mail	Send kode til e -mail	Stuur code naar e -mail	Saada kood e -posti aadressile	Send code to email	Lähetä koodi sähköpostiin	Envoyer du code en e-mail	Code an E -Mail senden	Αποστολή κώδικα σε email	שלח קוד לדוא"ל	ईमेल पर कोड भेजें	Kód küldése az e -mailre	Sendu kóða í tölvupóst	Kirim Kode ke Email	Kirim Kode ke Email	Invia codice all'e -mail	コードを電子メールに送信します	ಕೋಡ್ ಅನ್ನು ಇಮೇಲ್ಗೆ ಕಳುಹಿಸಿ	ផ្ញើលេខកូដទៅអ៊ីមែល	이메일로 코드를 보냅니다	ສົ່ງລະຫັດໄປທີ່ອີເມວ	Nosūtiet kodu uz e -pastu	Siųsti kodą el. Paštu	Испратете код на е -пошта	Hantar kod ke e -mel	ഇമെയിൽ അയയ്ക്കുക	ईमेलवर कोड पाठवा	Имэйлд код илгээх	ईमेलमा कोड पठाउनुहोस्	Send kode til e -post	ارسال کد به ایمیل	Wyślij kod na adres e -mail	Enviar código para e -mail	Trimite cod către e -mail	Отправить код на электронную почту	Пошаљи код на е-пошту	ඊමේල් කිරීමට කේතය යවන්න	Pošlite kód na e -mail	Pošljite kodo na e -pošto	Enviar código al correo electrónico	Tuma nambari kwa barua pepe	Skicka kod till e -post	ఇమెయిల్‌కు కోడ్‌ను పంపండి	ส่งรหัสไปยังอีเมล	E -postaya kod gönder	Надіслати код на електронну пошту	Gửi mã đến email	Thumela ikhodi ku-imeyili
enter_code_send_to	Capfirstchar	Please enter Code sent to	Please enter Code sent to	Ingrese el código enviado a	الرجاء إدخال الرمز المرسل إلى	Խնդրում ենք մուտքագրել ուղարկված կոդ	Zəhmət olmasa göndərilən kodu daxil edin	Mesedez, sartu bidalitako kodea	Калі ласка, увядзіце код, адпраўлены ў	প্রেরিত কোড লিখুন দয়া করে	Моля, въведете код, изпратен до	ကျေးဇူးပြုပြီးစာပို့လိုက်တဲ့ကုဒ်ထည့်ပါ	Introduïu el codi enviat a	请输入发送给的代码	請輸入發送給的代碼	Unesite kod poslani na	Zadejte prosím kód zaslaný do	Indtast venligst kode sendt til	Voer de code in die wordt verzonden naar	Palun sisestage kood, mis saadetakse	Please enter Code sent to	Kirjoita lähetetty koodi	Veuillez saisir le code envoyé à	Bitte geben Sie den gesendeten Code ein an gesendet	Εισαγάγετε τον κωδικό που αποστέλλεται στο	אנא הזן קוד שנשלח ל	कृपया भेजा गया कोड दर्ज करें	Kérjük, írja be a küldött kódot	Vinsamlegast sláðu inn kóða sendur til	Harap masukkan kode yang dikirim ke	Harap masukkan kode yang dikirim ke	Inserisci il codice inviato a	送信されたコードを入力してください	ದಯವಿಟ್ಟು ಕಳುಹಿಸಿದ ಕೋಡ್ ಅನ್ನು ನಮೂದಿಸಿ	សូមបញ្ចូលលេខកូដដែលបានផ្ញើទៅ	보낸 코드를 입력하십시오	ກະລຸນາໃສ່ລະຫັດທີ່ຖືກສົ່ງໄປ	Lūdzu, ievadiet kodu, kas nosūtīts uz	Įveskite kodą, išsiųstą į	Внесете го испратениот код до	Sila masukkan kod yang dihantar ke	അയച്ച കോഡ് നൽകുക	कृपया पाठविलेला कोड प्रविष्ट करा	Шууд кодыг оруулна уу	कृपया कोड प्रविष्ट गर्नुहोस्	Vennligst skriv inn kode sendt til	لطفا کد ارسال شده به	Wprowadź kod wysłany do	Por favor, insira o código enviado para	Vă rugăm să introduceți codul trimis la	Пожалуйста, введите код отправлено в	Молимо унесите код који је послат на	කරුණාකර යවන කේතය ඇතුළත් කරන්න	Zadajte kód odoslaný	Prosimo, vnesite kodo, poslano	Ingrese el código enviado a	Tafadhali ingiza nambari iliyotumwa	Ange kod som skickas till	దయచేసి పంపిన కోడ్‌ను నమోదు చేయండి	กรุณาป้อนรหัสที่ส่งไปยัง	Lütfen gönderilen kodu girin	Введіть код, надісланий на	Vui lòng nhập mã được gửi đến	Sicela ufake ikhodi ethunyelwe
check_email	Capfirstchar	Please check your email!	Please check your email!	¡Por favor revise su correo electrónico!	تفقد بريدك الالكتروني من فضلك!	Խնդրում ենք ստուգել ձեր էլ.	Zəhmət olmasa e-poçtunuzu yoxlayın!	Mesedez, egiaztatu zure posta elektronikoa!	Калі ласка, праверце сваю электронную пошту!	অনুগ্রহপূর্বক আপনার ইমেইল চেক করুন!	Моля, проверете електронната си поща!	ကျေးဇူးပြု. သင့်အီးမေးလ်ကိုစစ်ဆေးပါ	Consulteu el vostre correu electrònic.	请查看你的邮箱！	請查看你的郵箱！	Molimo provjerite svoju e -poštu!	Prosím zkontrolujte svůj e-mail!	Tjek venligst din email!	Controleer uw e-mail!	Palun kontrollige oma e -posti aadressi!	Please check your email!	Ole hyvä ja tarkista sähköpostisi!	Merci de consulter vos emails!	Bitte überprüfen Sie Ihre E -Mails!	Παρακαλούμε ελέγξτε το email σας!	אנא בדוק את הדוא"ל שלך!	कृपया अपनी ईमेल देखें!	Kérem nézze meg email-jeit!	Vinsamlegast athugaðu tölvupóstinn þinn!	Silakan periksa email Anda!	Silakan periksa email Anda!	Si prega di controllare la tua email!	メールを確認してください！	ದಯವಿಟ್ಟು ನಿಮ್ಮ ಇಮೇಲ್ ಪರಿಶೀಲಿಸಿ!	សូម​ពិនិត្យមើល​អ៊ី​ម៉ែ​ល​របស់​អ្នក!	이메일을 확인하십시오!	ກະລຸນາກວດເບິ່ງອີເມວຂອງທ່ານ!	Lūdzu, pārbaudi savu e-pastu!	Prašau, patikrink savo el. paštą!	Проверете ја вашата е -пошта!	Sila periksa e -mel anda!	ദയവായി താങ്കളുടെ ഇമെയില് പരിശോധിക്കുക!	कृपया आपले ईमेल तपासा!	Цахим шуудангаа шалгана уу!	कृपया तपाईंको ईमेल जाँच गर्नुहोस्!	Vennligst sjekk din e-post!	لطفا ایمیل خود را چک کنید!	Proszę sprawdzić email!	Por favor verifique seu email!	Vă rugăm să verificați email-ul!	Пожалуйста, проверьте свою электронную почту!	Молимо прегледајте Е-пошту!	කරුණාකර ඔබේ විද්යුත් ලිපිනය පරීක්ෂා කරන්න!	Prosím, skontrolujte si email!	Prosim, preglej svojo e-pošto!	¡Por favor revise su correo electrónico!	Tafadhali angalia barua pepe yako!	Kontrollera din e-post!	దయచేసి మీ ఇ - మెయిల్ చూసుకోండి!	โปรดตรวจสอบอีเมลของคุณ!	Lütfen emailinizi kontrol edin!	Будь ласка, перевірте свою електронну пошту!	Vui lòng kiểm tra email của bạn!	Sicela ubheke i-imeyili yakho!
email_check1	Capfirstchar	If we found an account with	If we found an account with	Si encontramos una cuenta con	إذا وجدنا حساب مع	Եթե ​​մենք հաշիվ գտանք	Bir hesab tapsaq	Kontu bat aurkitu badugu	Калі мы знайшлі ўліковы запіс з	আমরা যদি একটি অ্যাকাউন্ট খুঁজে পাই	Ако намерихме акаунт с	ကျနော်တို့နှင့်အတူအကောင့်တစ်ခုတွေ့ရှိခဲ့လျှင်	Si hem trobat un compte amb	如果我们找到了一个帐户	如果我們找到了一個帳戶	Ako smo pronašli račun s	Pokud jsme našli účet s	Hvis vi fandt en konto med	Als we een account hebben gevonden	Kui leidsime konto	If we found an account with	Jos löysimme tilin	Si nous avons trouvé un compte avec	Wenn wir ein Konto mit gefunden haben	Εάν βρήκαμε έναν λογαριασμό	אם מצאנו חשבון עם	अगर हमें एक खाता मिला	Ha találtunk egy fiókot	Ef við fundum reikning með	Jika kami menemukan akun dengan	Jika kami menemukan akun dengan	Se abbiamo trovato un account con	でアカウントを見つけた場合	ನಾವು ಖಾತೆಯನ್ನು ಕಂಡುಕೊಂಡರೆ	ប្រសិនបើយើងបានរកឃើញគណនីមួយជាមួយ	우리가 계정을 찾았다면	ຖ້າພວກເຮົາພົບບັນຊີກັບ	Ja mēs atradām kontu ar	Jei radome sąskaitą	Ако најдовме сметка со	Sekiranya kita menemui akaun dengan	ഞങ്ങൾ ഒരു അക്കൗണ്ട് കണ്ടെത്തിയാണെങ്കിൽ	आम्हाला एक खाते सापडल्यास	Хэрэв бид дансаа олсон бол	यदि हामीले एक खाता फेला पारेका छौं	Hvis vi fant en konto med	اگر ما یک حساب کاربری پیدا کردیم	Jeśli znaleźliśmy konto z	Se encontramos uma conta com	Dacă am găsit un cont cu	Если мы нашли учетную запись с	Ако смо нашли рачун	අපට ගිණුමක් හමුවුවහොත්	Ak sme našli účet s	Če smo našli račun z	Si encontramos una cuenta con	Ikiwa tulipata akaunti na	Om vi ​​hittade ett konto hos	మేము ఒక ఖాతాను కనుగొంటే	หากเราพบบัญชีด้วย	Bir hesap bulursak	Якщо ми знайшли рахунок	Nếu chúng tôi tìm thấy một tài khoản với	Uma sithole i-akhawunti
email_check2	Capfirstchar	an email has been sent. Please check your email in a moment	an email has been sent. Please check your email in a moment	Un correo electronico ha sido enviado. Consulte su correo electrónico en un momento	تم ارسال البريد الإلكتروني. يرجى التحقق من بريدك الإلكتروني في لحظة	Ուղարկվել է էլ. Խնդրում ենք մի պահ ստուգել ձեր էլ	Bir e-poçt göndərildi. Zəhmət olmasa bir anda e-poçtunuzu yoxlayın	Posta elektroniko bat bidali da. Mesedez, egiaztatu zure posta elektronikoa une batean	Адпраўлены ліст. Калі ласка, праверце свой ліст праз імгненне	একটি ইমেইল পাঠানো হয়েছে. আপনার ইমেলটি এক মুহুর্তে চেক করুন	Изпратен е имейл. Моля, проверете имейла си след миг	အီးမေးလ်တစ်စောင်ပို့ပြီးပါပြီ ကျေးဇူးပြု. သင်၏အီးမေးလ်ကိုခဏစစ်ဆေးပါ	S'ha enviat un correu electrònic. Consulteu el vostre correu electrònic en un moment	已发送电子邮件。请稍后查看您的电子邮件	已發送電子郵件。請稍後查看您的電子郵件	Poslana je e -pošta. Molimo provjerite svoju e -poštu za trenutak	Byl odeslán e -mail. Zkontrolujte prosím svůj e -mail	En e -mail er sendt. Kontroller venligst din e -mail i et øjeblik	Er is een e -mail verzonden. Controleer uw e -mail in een oogwenk	E -kiri on saadetud. Palun kontrollige oma e -posti hetkega	an email has been sent. Please check your email in a moment	Sähköposti on lähetetty. Tarkista sähköpostiosoitteesi hetkessä	Un e-mail a été envoyé. Veuillez vérifier votre e-mail dans un instant	Eine E -Mail wurde gesendet. Bitte überprüfen Sie Ihre E -Mails gleichzeitig	Έχει σταλεί ένα email. Ελέγξτε το email σας σε μια στιγμή	נשלח דוא"ל. אנא בדוק את הדוא"ל שלך ברגע	ईमेल भेजा गया है। कृपया एक पल में अपना ईमेल देखें	E -mailt küldtek. Kérjük, egy pillanat alatt ellenőrizze e -mailjét	Tölvupóstur hefur verið sendur. Vinsamlegast athugaðu tölvupóstinn þinn í smá stund	email telah dikirim. Silakan periksa email Anda sebentar lagi	email telah dikirim. Silakan periksa email Anda sebentar lagi	una email è stata inviata. Si prega di controllare la tua email in un momento	メールが送信されました。すぐにメールを確認してください	ಇಮೇಲ್ ಕಳುಹಿಸಲಾಗಿದೆ. ದಯವಿಟ್ಟು ನಿಮ್ಮ ಇಮೇಲ್ ಅನ್ನು ಒಂದು ಕ್ಷಣದಲ್ಲಿ ಪರಿಶೀಲಿಸಿ	អ៊ីមែលត្រូវបានផ្ញើ។ សូមពិនិត្យមើលអ៊ីមែលរបស់អ្នកក្នុងមួយភ្លែត	이메일이 전송되었습니다. 잠시 후 이메일을 확인하십시오	ອີເມວໄດ້ຖືກສົ່ງໄປແລ້ວ. ກະລຸນາກວດເບິ່ງອີເມວຂອງທ່ານໃນເວລານີ້	Ir nosūtīts e -pasts. Lūdzu, pēc brīža pārbaudiet savu e -pastu	išsiųstas el. Laiškas. Akimirksniu patikrinkite savo el. Laišką	Испратена е е -пошта. Проверете ја вашата е -пошта во еден момент	e -mel telah dihantar. Sila periksa e -mel anda sebentar	ഒരു ഇമെയിൽ അയച്ചു. ഒരു നിമിഷത്തിനുള്ളിൽ നിങ്ങളുടെ ഇമെയിൽ പരിശോധിക്കുക	एक ईमेल पाठविला गेला आहे. कृपया एका क्षणात आपले ईमेल तपासा	Имэйл илгээсэн байна. Хэсэг хугацааны дараа имэйлээ шалгана уу	एक ईमेल पठाइएको छ। कृपया एक क्षणमा तपाईंको ईमेल जाँच गर्नुहोस्	En e -post er sendt. Vennligst sjekk e -posten din om et øyeblikk	یک ایمیل ارسال شده است. لطفا ایمیل خود را در یک لحظه بررسی کنید	Wysłano e -mail. Za chwilę sprawdź swój e -mail	Um e-mail foi enviado. Por favor, verifique seu e -mail em um momento	a fost trimis un e -mail. Vă rugăm să verificați e -mailul într -o clipă	электронное письмо было отправлено. Пожалуйста, проверьте свое письмо через мгновение	Послат је е-маил. Молимо вас да проверите своју е-пошту у трену	විද්යුත් තැපෑලක් යවා ඇත. කරුණාකර ඔබේ විද්යුත් ලිපිනය මොහොතකින් පරීක්ෂා කරන්න	Bol odoslaný e -mail. O chvíľu skontrolujte svoj e -mail	E -poštno sporočilo je bilo poslano. V trenutku preverite svoj e -poštni naslov	Un correo electronico ha sido enviado. Consulte su correo electrónico en un momento	Barua pepe imetumwa. Tafadhali angalia barua pepe yako kwa muda mfupi	ett e -postmeddelande har skickats. Kontrollera din e -post på ett ögonblick	ఒక ఇమెయిల్ పంపబడింది. దయచేసి మీ ఇమెయిల్‌ను క్షణంలో తనిఖీ చేయండి	ส่งอีเมลแล้ว โปรดตรวจสอบอีเมลของคุณในอีกสักครู่	Bir e-posta gönderildi. Lütfen e -postanızı bir anda kontrol edin	Надіслано електронний лист. Будь ласка, перевірте свою електронну пошту за мить	Một email đã được gửi đi. Vui lòng kiểm tra email của bạn trong một khoảnh khắc	Kuthunyelwe i-imeyili. Sicela ubheke i-imeyili yakho ngomzuzwana
email_not_receive	Capfirstchar	Didn't receive a link ?	Didn't receive a link ?	¿No recibió un enlace?	لم تتلق رابط؟	Հղում չեք ստացել:	Bir link almadınız?	Ez duzu estekarik jaso?	Не атрымаў спасылку?	কোনও লিঙ্ক পাননি?	Не получи ли връзка?	link တစ်ခုမရခဲ့ဘူးလား	No heu rebut cap enllaç?	没有收到链接？	沒有收到鏈接？	Niste primili vezu?	Nedostali jste odkaz?	Modtog ikke et link?	Heb je geen link ontvangen?	Kas linki ei saanud?	Didn't receive a link ?	Etkö saanut linkkiä?	Vous n'avez pas reçu de lien?	Keinen Link erhalten?	Δεν έλαβε σύνδεσμο;	לא קיבלתי קישור?	एक लिंक नहीं मिला?	Nem kapott linket?	Fékk ekki hlekk?	Tidak menerima tautan?	Tidak menerima tautan?	Non hai ricevuto un link?	リンクを受け取りませんでしたか？	ಲಿಂಕ್ ಸ್ವೀಕರಿಸಲಿಲ್ಲವೇ?	មិនបានទទួលតំណទេ?	링크를받지 못했습니까?	ບໍ່ໄດ້ຮັບການເຊື່ອມຕໍ່ບໍ?	Vai nesaņēmāt saiti?	Negavote nuorodos?	Не добивте врска?	Tidak menerima pautan?	ഒരു ലിങ്ക് ലഭിച്ചില്ലേ?	एक दुवा प्राप्त झाला नाही?	Холбоос аваагүй юу?	लिंक प्राप्त भएन?	Mottok ikke en lenke?	پیوندی دریافت نکردید؟	Nie otrzymałeś linku?	Não recebeu um link?	Nu ați primit un link?	Не получили ссылку?	Нисам добио везу?	සබැඳියක් ලැබුනේ නැද්ද?	Nedostal som odkaz?	Niste prejeli povezave?	¿No recibió un enlace?	Je! Haukupokea kiunga?	Fick inte en länk?	లింక్ రాలేదా?	ไม่ได้รับลิงค์?	Bağlantı almadınız mı?	Не отримали посилання?	Không nhận được một liên kết?	Awutholanga isixhumanisi?
use_difference_email	Capfirstchar	use a difference email	use a difference email	Utilice un correo electrónico de diferencia	استخدم البريد الإلكتروني الفرق	Օգտագործեք տարբերություն էլ	Fərqli bir e-poçtdan istifadə edin	Erabili diferentzia mezu elektronikoa	Выкарыстоўвайце розніцу па электроннай пошце	একটি পার্থক্য ইমেল ব্যবহার করুন	Използвайте разлика в разликата	ခြားနားချက်အီးမေးလ်ကိုသုံးပါ	Utilitzeu un correu electrònic de diferència	使用差异电子邮件	使用差異電子郵件	Koristite razliku e -poštu	Použijte e -mail rozdílu	Brug en forskel -e -mail	Gebruik een verschil -e -mail	Kasutage erinevuse e -posti	use a difference email	Käytä ero -sähköpostia	Utilisez un e-mail de différence	Verwenden Sie eine Differenz -E -Mail	Χρησιμοποιήστε ένα email διαφοράς	השתמש בדוא"ל הבדל	एक अंतर ईमेल का उपयोग करें	Használjon különbség e -mailt	Notaðu mismun tölvupóst	Gunakan email perbedaan	Gunakan email perbedaan	Usa un'e -mail di differenza	違いのメールを使用してください	ವ್ಯತ್ಯಾಸ ಇಮೇಲ್ ಬಳಸಿ	ប្រើអ៊ីម៉ែលខុសគ្នា	차이 이메일을 사용하십시오	ໃຊ້ Email ຄວາມແຕກຕ່າງ	Izmantojiet atšķirības e -pastu	Naudokite skirtumo el. Laišką	Користете е -пошта за разлика	Gunakan e -mel perbezaan	ഒരു വ്യത്യാസ ഇമെയിൽ ഉപയോഗിക്കുക	फरक ईमेल वापरा	Өөрчлөлтийн имэйлийг ашиглана уу	फरक ईमेल प्रयोग गर्नुहोस्	Bruk en forskjell e -post	از یک ایمیل تفاوت استفاده کنید	Użyj różnicy e -mail	Use um e -mail de diferença	Utilizați un e -mail de diferență	Используйте разницу по электронной почте	Користите разлику е-пошту	වෙනසක් විද්යුත් තැපෑලක් භාවිතා කරන්න	Použite e -mail s rozdielom	Uporabite razliko v e -pošti	Utilice un correo electrónico de diferencia	Tumia barua pepe tofauti	Använd ett skillnadsmeddelande	వ్యత్యాస ఇమెయిల్‌ను ఉపయోగించండి	ใช้อีเมลที่แตกต่าง	Fark e -postası kullanın	Використовуйте різницю електронної пошти	Sử dụng email khác biệt	Sebenzisa i-imeyili umehluko
use_your_phone_number	Capfirstchar	use your phone number	use your phone number	Usa tu número de teléfono	استخدم رقم هاتفك	Օգտագործեք ձեր հեռախոսի համարը	Telefon nömrənizi istifadə edin	Erabili zure telefono zenbakia	Выкарыстоўвайце нумар тэлефона	আপনার ফোন নম্বর ব্যবহার করুন	Използвайте телефонния си номер	သင့်ဖုန်းနံပါတ်ကိုသုံးပါ	Utilitzeu el vostre número de telèfon	使用您的电话号码	使用您的電話號碼	Koristite svoj telefonski broj	Použijte své telefonní číslo	Brug dit telefonnummer	Gebruik uw telefoonnummer	Kasutage oma telefoninumbrit	use your phone number	Käytä puhelinnumerosi	Utilisez votre numéro de téléphone	Verwenden Sie Ihre Telefonnummer	Χρησιμοποιήστε τον αριθμό τηλεφώνου σας	השתמש במספר הטלפון שלך	अपने फ़ोन नंबर का उपयोग करें	Használja a telefonszámát	Notaðu símanúmerið þitt	Gunakan nomor telepon Anda	Gunakan nomor telepon Anda	Usa il tuo numero di telefono	電話番号を使用してください	ನಿಮ್ಮ ಫೋನ್ ಸಂಖ್ಯೆಯನ್ನು ಬಳಸಿ	ប្រើលេខទូរស័ព្ទរបស់អ្នក	전화 번호를 사용하십시오	ໃຊ້ເບີໂທລະສັບຂອງທ່ານ	Izmantojiet savu tālruņa numuru	Naudokite savo telefono numerį	Користете го вашиот телефонски број	Gunakan nombor telefon anda	നിങ്ങളുടെ ഫോൺ നമ്പർ ഉപയോഗിക്കുക	आपला फोन नंबर वापरा	Утасны дугаараа ашиглана уу	तपाईंको फोन नम्बर प्रयोग गर्नुहोस्	Bruk telefonnummeret ditt	از شماره تلفن خود استفاده کنید	Użyj swojego numeru telefonu	Use seu número de telefone	Folosiți numărul dvs. de telefon	Используйте свой номер телефона	Користите свој телефонски број	ඔබගේ දුරකථන අංකය භාවිතා කරන්න	Použite svoje telefónne číslo	Uporabite svojo telefonsko številko	Usa tu número de teléfono	Tumia nambari yako ya simu	Använd ditt telefonnummer	మీ ఫోన్ నంబర్‌ను ఉపయోగించండి	ใช้หมายเลขโทรศัพท์ของคุณ	Telefon numaranızı kullanın	Використовуйте свій номер телефону	Sử dụng số điện thoại của bạn	Sebenzisa inombolo yakho yocingo
